ќценка.1,ќценка.2,ќценка.3,ќценка.4
100,82,68,96
65,90,78,96
70,92,92,89
100,80,100,87
80,76,80,87
60,84,76,87
70,88,68,87
70,80,80,85
50,84,96,91
60,82,82,98
60,80,86,98
70,70,64,87
45,80,82,91
100,94,100,100
70,94,90,85
80,80,98,85
50,88,70,100
75,84,72,85
70,82,90,91
60,94,66,87
55,82,78,100
100,76,72,89
100,82,80,87
50,74,80,91
60,84,88,91
60,88,66,89
100,94,98,89
65,80,88,91
65,86,98,96
60,88,94,96
100,86,84,89
75,82,92,91
35,74,70,62
75,90,96,98
80,86,100,98
90,94,92,89
70,78,100,89
70,88,88,98
60,84,86,91
60,82,76,91
50,62,51,73
60,92,62,85
100,76,48,80
35,78,78,85
60,80,84,94
65,84,68,65
70,72,66,89
100,84,74,96
100,94,100,91
70,86,78,87
50,74,78,89
55,78,78,76
50,74,68,98
100,94,98,98
55,84,86,89
60,76,90,89
55,70,76,96
70,80,98,89
55,74,90,85
70,76,84,89
60,78,88,94
70,84,94,80
70,84,76,91
60,80,82,91
70,84,96,100
100,100,100,82
70,84,82,72
55,90,100,94
55,86,88,91
75,86,92,98
70,84,96,94
35,86,82,89
60,82,96,94
100,92,76,94
65,74,88,80
55,82,76,94
100,88,98,82
60,70,96,89
60,72,55,78
50,82,82,91
100,94,98,89
60,70,90,78
80,100,98,85
65,84,96,91
100,84,96,78
65,78,88,91
75,90,90,94
70,78,94,91
65,74,62,78
55,86,62,85
100,78,100,94
40,72,78,91
70,78,68,78
40,74,84,82
60,78,74,91
65,78,72,98
50,82,80,87
100,80,100,85
70,78,83,78
60,74,82,98
30,88,66,94
85,86,96,91
50,70,66,76
90,86,86,91
60,80,94,80
100,86,86,98
100,92,100,98
70,74,86,96
50,82,88,87
100,98,100,85
35,78,61,87
75,84,100,91
65,92,100,98
100,100,100,91
80,86,87,88
100,80,92,85
65,96,59,81
75,88,92,98
30,80,55,80
50,84,96,94
65,78,78,96
55,82,94,89
55,86,90,87
100,86,74,85
100,76,92,96
70,82,100,89
50,74,70,80
75,84,100,91
60,80,82,89
75,80,90,89
100,84,100,89
60,76,88,96
35,74,70,98
80,78,88,89
100,82,88,91
100,90,100,82
100,98,96,87
55,86,76,94
50,80,82,91
70,72,100,70
100,92,94,96
65,88,61,80
100,84,96,96
75,82,84,87
60,84,78,87
55,82,64,96
90,92,94,89
70,76,82,85
40,86,80,96
100,96,100,87
70,78,92,98
75,78,82,87
75,72,80,89
70,86,80,96
100,88,96,73
65,82,78,91
50,78,62,85
100,92,88,76
35,72,84,80
100,84,100,98
100,84,80,91
70,80,94,98
70,90,70,85
100,96,100,87
65,76,68,87
100,86,100,85
100,80,86,85
100,78,80,85
70,84,66,78
60,88,78,98
100,99,90,96
60,84,72,91
80,80,88,85
50,76,64,87
50,88,76,91
65,88,66,96
50,86,84,100
35,68,60,76
100,88,86,98
80,82,84,89
50,88,72,96
50,84,74,94
100,92,94,94
70,84,70,94
50,82,86,89
90,82,86,98
65,76,84,91
100,76,80,72
100,86,86,94
85,82,96,85
70,90,86,89
60,80,76,87
40,72,62,94
70,78,80,80
80,94,92,98
45,78,66,87
100,96,92,89
70,86,94,89
70,84,80,96
65,76,84,87
80,84,96,80
50,92,76,85
60,86,90,94
55,90,100,94
100,80,76,80
65,94,78,94
50,82,88,91
65,84,58,100
60,84,82,96
80,84,100,76
70,78,76,96
60,86,78,85
100,90,94,89
60,80,86,98
60,88,88,94
80,88,89,93
100,80,84,89
100,88,94,96
50,86,88,96
70,90,88,87
100,96,92,91
50,80,72,78
100,86,100,96
50,76,74,87
